left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
215.217392 222.826080 0.052958 
217.934784 216.847824 0.023481 
146.195648 135.869568 0.036041 
158.695648 126.630432 0.253141 
175.000000 122.826088 0.321512 
223.913040 210.326080 0.007986 
145.652176 140.217392 0.031129 
154.891296 128.260864 0.034564 
172.826080 123.369568 0.021096 
230.978256 214.130432 0.008417 
141.847824 141.304352 0.010298 
158.152176 126.086960 0.011324 
167.934784 123.913040 0.011506 
224.456512 197.826080 0.009269 
219.565216 225.543472 0.011310 
211.956512 238.043472 0.007648 
174.456528 123.369568 0.011107 
215.760864 215.217392 0.010491 
237.500000 191.847824 0.009328 
168.478256 125.543480 0.010758 
171.739136 127.173912 0.015325 


